# Pathway	Exp1A1_prefix.assembled_Coverage	Exp1A2_prefix.assembled_Coverage	Exp1AS1_prefix.assembled_Coverage	Exp1AS2_prefix.assembled_Coverage	Exp1C1_prefix.assembled_Coverage	Exp1C2_prefix.assembled_Coverage	Exp1S1_prefix.assembled_Coverage	Exp1S2_prefix.assembled_Coverage	Exp2A1_prefix.assembled_Coverage	Exp2A2_prefix.assembled_Coverage	Exp2AS1_prefix.assembled_Coverage	Exp2AS2_prefix.assembled_Coverage	Exp2C1New.assembled_Coverage	Exp2C2_prefix.assembled_Coverage	Exp2S1_prefix.assembled_Coverage	Exp2S2_prefix.assembled_Coverage	Exp3A1_prefix.assembled_Coverage	Exp3A2_prefix.assembled_Coverage	Exp3AS1_prefix.assembled_Coverage	Exp3AS2_prefix.assembled_Coverage	Exp3C1_prefix.assembled_Coverage	Exp3C2_prefix.assembled_Coverage	Exp3S1_prefix.assembled_Coverage	Exp3S2_prefix.assembled_Coverage
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	0.1624554510	0.1036711466	0.5251354560	0.4381092267	0.1733215496	0.4442950952	0.3944407670	0.5977757570	0	0	0.6135713700	0.3419861826	0	0	0.3776928672	0.3387164693	0.3509259443	0.4834891237	0.3852191643	0.5375665544	0.3304257909	0.4204726961	0.4527072972	0.4648010450
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_oxytoca	0.2420563684	0.1678188096	0	0	0.4013290596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000000000	0.0000000000	0.0000000052	0.0000000000	0.0000000000	0.0000000000	0.0002235241	0.0000077562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.2991869557	0	0	0.0042428595	0.6964668380	0.3041739747	0.0438217861	0	0.3654390487	0.3449329232	0	0.0598211331	0	0.5760360982	0	0	0	0.1673727797	0	0	0	0	0.1271284233	0.3492330780
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.8060306683	0.0116396430	0.4083654097	0.8196868074	0.2903574156	0.9842518417	0.5776049628	0.0534730912	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.9064570629	0.9989990936	0.8114165382	0.9188651799	0.9978767839	0.9920532436	0.5555356686	0.9863462269
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_longum	0.4039163662	0.2996486665	0.1823695311	0.4569349467	0.3178409499	0.6854560906	0.2125220036	0.1363455224	0	0	0.4378858330	0.2275523729	0	0	0.3684021807	0.1945696081	0.2654744717	0.3920096850	0.1721583039	0.0215426649	0.2056829751	0.6282422549	0.4605902958	0.5067373284
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	0.0235138511	0.0989023512	0.3835103116	0.4725935829	0.1511301688	0.2188511341	0.1188743229	0.0506631345	0	0	0.3304643511	0.1902402875	0	0	0.0001072110	0.3154982985	0.2811293002	0.0019327021	0.2908666216	0.4879698952	0.2708988073	0.3856027129	0.0770403994	0.3608362154
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0.1721351804	0	0	0.0015804768	0.4747981371	0.1598643549	0.0509084585	0	0.3584236083	0.1755929309	0	0.0360530432	0	0.0639077148	0	0	0	0.0703944705	0	0	0	0	0.0591750393	0.1733388370
ARO-PWY: chorismate biosynthesis I	0.9999999998	0.9949919959	0.9999999993	1.0000000000	0.9999990376	0.9999999201	0.9999999986	0.9999999903	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000041	0.0000000000	0.9645839579	0.9984450289	0.9645041476	0.9999750951	0.9999915861	0.9781568307	0.9625188859	0.9270872018
ARO-PWY: chorismate biosynthesis I|g__Acidaminococcus.s__Acidaminococcus_fermentans	0	0.4908707399	0	0	0.6844373408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0.4747695847	0	0	0.3659485433	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0246279186	0.1411907786	0.3780468895	0.2762605171	0.0125152047	0.0251189356	0.6579810168	0.4275873751	0	0	0.3325248405	0.3639553005	0	0	0.4913243004	0.3890473064	0.2424206210	0.3042182122	0.0174879495	0.5767398110	0.2098981074	0.1881296905	0.4091241137	0.2483354757
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0	0.6988338032	0	0.4774345317	0	0.1632186896	0.2965795447	0	0.5138902212	0.3702277868	0.1250548924	0.5280744105	0.3604453605	0.2960555891	0.0895292207	0.3928735372
ARO-PWY: chorismate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	0.0217565716	0.2153072485	0.5212870605	0.5952401057	0.2198430025	0.1649881055	0.1870498303	0.4491958386	0.0000000048	0.0000595454	0	0	0.0000000000	0.0000002313	0	0	0	0	0	0	0	0	0	0
