# Pathway	Exp1A1_prefix.assembled_Abundance	Exp1A2_prefix.assembled_Abundance	Exp1AS1_prefix.assembled_Abundance	Exp1AS2_prefix.assembled_Abundance	Exp1C1_prefix.assembled_Abundance	Exp1C2_prefix.assembled_Abundance	Exp1S1_prefix.assembled_Abundance	Exp1S2_prefix.assembled_Abundance	Exp2A1_prefix.assembled_Abundance	Exp2A2_prefix.assembled_Abundance	Exp2AS1_prefix.assembled_Abundance	Exp2AS2_prefix.assembled_Abundance	Exp2C1_New.assembled_Abundance	Exp2C2_prefix.assembled_Abundance	Exp2S1_prefix.assembled_Abundance	Exp2S2_prefix.assembled_Abundance	Exp3A1_prefix.assembled_Abundance	Exp3A2_prefix.assembled_Abundance	Exp3AS1_prefix.assembled_Abundance	Exp3AS2_prefix.assembled_Abundance	Exp3C1_prefix.assembled_Abundance	Exp3C2_prefix.assembled_Abundance	Exp3S1_prefix.assembled_Abundance	Exp3S2_prefix.assembled_Abundance
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260087	0.22948	0.44318	0.449192	0.229515	0.262531	0.396933	0.416627
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0.0249527	0.0243352	0.0280224	0.0233367	0.0217511	0.0227888	0.0256158	0.0255927	0.00192647	0.00797508	0.0224887	0.0250075	0.00522055	0.00269117	0.0285394	0.0239458	0.0679322	0.074708	0.066842	0.0693772	0.0728629	0.0664975	0.0469638	0.057376
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0.0025089	0.00353205	0.00852949	0.0122202	0.00153942	0.00157943	0.00878669	0.00660395	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296077	0.00151742	0	0	0.00168451	0.00203543	0.00148789	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0.000793682	0	0	0	0	0.000597577	0	0.0013169	0	0	0.000921089	0	0	0
UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus	0.00038893	0.000302054	0.000472954	0.000322611	0.000282041	0.00019387	0.000563432	0.000607749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0.000644609	0.000554169	0.000549344	0.00144231	0.000688568	0.000655638	0.00117011	0.000886874	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Clostridiales_noname.s__Bacteroides_pectinophilus	0.000425109	0	0.000303316	0.000209757	0.000160163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000858804	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00473754	0	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0.000755523	0.000352866	0.000405841	0.000421265	0.000545038	0.000429328	0.000305523	0	0.000771827	0.00174901	0.00123849	0.00104253	0.00105166	0.000969284	0.00147941	0.000869795	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201355	0	0	0.000383453	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0.000686796	0.000879068	0	0	0.000232689	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0.000769147	0.000798126	0	0	0	0	0	0	0	0	0	0	0	0	0.000623992	0	0.000731228	0.00106196	0.00052151	0.00140487	0.00105144	0.000974673	0.00101182	0.000707649
UNINTEGRATED|g__Enterobacter.s__Enterobacter_aerogenes	0.00156293	0.00183573	0	0	0.00170344	0.00159604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0.0346483	0.0334188	0.0245435	0.0221301	0.0328624	0.032012	0.0224691	0.0204497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0.0018862	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0.218144	0.219436	0.213352	0.199012	0.22711	0.219589	0.214035	0.225113	0	0	0.0880667	0.0973054	0	0	0.15972	0.125995	0.116975	0.126955	0.104335	0.106906	0.116882	0.123786	0.135739	0.135585
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000919286	0.000801624	0.00111292	0.000914939	0.00122721	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	0.000245956	0	0	0	0.000173476	0	0	0	0.0014418	0.00160409	0.00192432	0.00217575	0.00130311	0.00177782	0.00186687	0.00220772	0.00270721	0.00313475	0.00280165	0.00271406	0.00366708	0.00229124	0.00262132	0.00334626
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.00268082	0.00200161	0.00223368	0.00201844	0.00199242	0.00199267	0.00202949	0.00186304	0.00227111	0.0018007	0.00169746	0.00235208	0.00188164	0.00152501	0.00273152	0.00212085	0.00931428	0.00822292	0.00725696	0.0080507	0.00871503	0.00930498	0.00846641	0.00855212
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	0.00190337	0.00358404	0.00146663	0.00120503	0.00285492	0.00223181	0.00149618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0.0806607	0.0901214	0.0480977	0.03845	0.0881459	0.0829032	0.0421247	0.0389419	0.244764	0.239943	0.00216343	0.00166881	0.238133	0.24563	0.00184364	0.00129418	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.225064	0.145817	0.188681	0.11754	0.242828	0.245304	0.0837484	0.118626	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	0.0277384	0.0199797	0.0371229	0.0444299	0.0211121	0.0204109	0.0432673	0.0400589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_salivarius	0.00071826	0.000686551	0.000111823	0.000418923	0.000520715	0.000385101	0.000435905	0.000187326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000390648	0.000412698	0.000800893	0.000509497	0.000752324	0	8.17093e-05	0.000300328
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.000306593	0.000249724	0.000148932	0.000204918	0.000339653	0.00032567	0.00019131	0.000140349	0	0	0	0	0	0	0	0	0.000469846	0.000233952	0.000354955	0.000551052	0.000387191	0.000330331	0.00023544	0
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	0.00212898	0.00128306	0.00141879	0.00135349	0.00135535	0.00120241	0.00142571	0.00179406	0.00128233	0.000777523	0.000969817	0.00133616	0.000921265	0.000880745	0.00123797	0.00140588	0.000713821	0.00093226	0.000542316	0.000500035	0.00103633	0.000767626	0.000546258	0.00076086
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	0.000481183	0	0	0	0.000435098	0	0	0	0.000548888	0.000295943	0.000544609	0.000913851	0.000372001	0.000514568	0	0.000674192	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	0.000175682	0.000337778	0.000271247	0.000601508	0.000128954	0.000267617	8.69824e-05	0.00031002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	0.000116097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143983	0	0	0	0	0	0
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000537862	0	0	0	0.0010328	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0.000429334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Weissella.s__Weissella_cibaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149878	0.130183	0.131833	0.120737	0.146658	0.134781	0.101437	0.110072
UNINTEGRATED|g__Weissella.s__Weissella_confusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144068	0	0	0
UNINTEGRATED|unclassified	0.0174512	0.0119048	0.0140849	0.0153323	0.0148325	0.0134485	0.0118096	0.0145575	0.0137362	0.0114102	0.023314	0.0182091	0.0107389	0.012719	0.0115127	0.0102182	0.0165743	0.0171899	0.0211864	0.0275107	0.0198588	0.0139738	0.0138787	0.0155926
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.000265359	0.000260108	0.000254831	0.000222637	0.00026491	0.00024638	0.000253927	0.000242713	0.000473548	0.000384077	0.000461755	0.000362304	0.000450997	0.000452137	0.000291292	0.000387458	0.000171593	0.000183601	0.000173556	0.000169354	0.000200441	0.000194485	0.000175557	0.000219953
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	1.35203e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	0	1.26363e-05	0	0	4.25667e-06	5.95324e-06	5.56993e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	1.44396e-05	2.84252e-05	8.32654e-06	0	2.44539e-05	6.53978e-06	7.87629e-06	9.90574e-06	0	0	0	0	0	0	0	0	2.38689e-05	2.24124e-05	0	1.57258e-05	1.7417e-05	1.82365e-05	0	1.22969e-05
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	2.28119e-05	2.80727e-05	1.31486e-05	1.30905e-05	2.83581e-05	2.63223e-05	1.34158e-05	1.18974e-05	8.41595e-05	8.13236e-05	0	0	8.12373e-05	8.71449e-05	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	4.28694e-06	1.468e-06	1.2256e-06	0	6.02969e-07	0	0	0	0	0	0	0	0	0	0	0	6.0628e-06	0	0	0	4.49118e-06	8.65955e-06	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	5.64252e-05	6.31733e-05	2.11055e-05	2.4599e-05	6.49902e-05	6.30871e-05	2.19849e-05	2.23784e-05	0	0	0	0	0	0	0	0	4.47312e-05	4.07296e-05	7.06768e-06	7.2021e-06	3.93338e-05	4.3935e-05	4.18519e-06	3.40866e-06
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|g__Escherichia.s__Escherichia_coli	4.59036e-05	5.12687e-05	1.79258e-05	2.04418e-05	5.52551e-05	5.16326e-05	1.67207e-05	1.56501e-05	0	0	0	0	0	0	0	0	4.47312e-05	4.07296e-05	7.06768e-06	7.12017e-06	3.91277e-05	4.37528e-05	4.18519e-06	3.30867e-06
AEROBACTINSYN-PWY: aerobactin biosynthesis	6.66872e-07	2.28537e-07	0	0	6.98423e-07	0	0	0	0	0	0	0	0	0	0	0	1.96732e-06	1.35689e-06	0	6.33915e-07	2.99543e-06	3.07159e-06	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	6.66872e-07	2.28537e-07	0	0	6.98423e-07	0	0	0	0	0	0	0	0	0	0	0	1.96732e-06	1.35689e-06	0	6.33915e-07	2.99543e-06	3.07159e-06	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	7.0486e-06	3.49605e-06	5.5069e-06	2.21041e-06	5.21743e-06	4.34629e-06	1.22935e-06	1.59585e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|g__Klebsiella.s__Klebsiella_pneumoniae	2.98249e-06	2.82283e-06	3.48472e-06	1.98673e-06	2.65996e-06	2.81993e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.000275961	0.000250119	0.000254023	0.000242978	0.000275066	0.000260018	0.00023239	0.000229775	0.00021574	0.000199208	0.000149398	0.000148119	0.000202354	0.000213124	0.000216946	0.000157483	0.000212748	0.00018613	0.000162927	0.000171859	0.000215093	0.000202483	0.000206624	0.000189011
ANAEROFRUCAT-PWY: homolactic fermentation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38028e-06	0	0	6.33956e-06	3.86978e-06	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	3.58905e-06	0	0	0	2.82426e-06	1.24034e-06	0	0	0	0	0	0	0	0	0	0	0	4.70897e-06	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000372966	0.000342922	0.000349644	0.000331414	0.000356875	0.000348166	0.000346812	0.000342822	0.00038306	0.000338888	0.000285612	0.000269424	0.000368814	0.000373207	0.00029854	0.00028112	0.000347087	0.000277621	0.000276928	0.000287942	0.000357043	0.000320307	0.000289851	0.000359661
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	5.22085e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Escherichia.s__Escherichia_coli	6.50785e-05	6.3831e-05	6.68905e-05	6.53925e-05	6.80447e-05	6.38109e-05	7.40382e-05	7.14125e-05	0	0	3.07293e-05	3.80049e-05	0	0	6.12739e-05	4.40193e-05	4.08909e-05	4.16962e-05	3.67185e-05	4.23202e-05	4.10187e-05	4.35357e-05	5.26052e-05	5.39936e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_oxytoca	1.2973e-06	0	0	0	1.07449e-06	1.06836e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Klebsiella.s__Klebsiella_pneumoniae	2.44555e-05	2.51708e-05	1.72063e-05	9.4448e-06	2.81698e-05	2.77871e-05	1.09703e-05	1.22025e-05	8.85892e-05	9.3984e-05	0	0	9.14688e-05	9.1531e-05	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	5.43355e-06	0	0	0	3.57109e-06	3.8949e-06	0	5.30332e-06	0	0	0	0	0	0	0	0	0	6.873e-06	0	6.4206e-06	0	5.63464e-06	7.16605e-06	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	3.61135e-05	2.76417e-05	6.36318e-05	5.47718e-05	3.4459e-05	2.86507e-05	7.78147e-05	7.6485e-05	0	0	2.31933e-05	2.19865e-05	8.19994e-06	0	2.02295e-05	1.48069e-05	3.95933e-05	3.17496e-05	4.3632e-05	5.00844e-05	1.43427e-05	1.88102e-05	3.56835e-05	3.1147e-05
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|g__Escherichia.s__Escherichia_coli	1.84717e-05	1.98205e-05	3.03718e-05	2.16297e-05	2.35882e-05	1.85955e-05	3.09991e-05	2.11021e-05	0	0	7.6612e-06	7.0632e-06	0	0	1.23418e-05	6.37303e-06	1.13632e-05	1.21361e-05	7.56314e-06	7.32508e-06	9.19449e-06	8.07177e-06	1.33026e-05	5.28891e-06
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	8.10644e-05	8.19974e-05	6.27161e-05	5.71434e-05	8.41485e-05	7.36653e-05	6.01764e-05	5.82518e-05	0	0	1.3405e-05	1.17488e-05	0	0	1.16993e-05	8.67901e-06	3.05565e-05	2.65465e-05	2.35142e-05	2.02005e-05	2.93441e-05	2.50751e-05	2.01426e-05	1.73269e-05
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation|g__Escherichia.s__Escherichia_coli	3.91131e-05	3.78039e-05	2.48033e-05	1.56461e-05	3.51782e-05	3.94388e-05	2.42649e-05	1.49896e-05	0	0	5.21165e-06	4.56658e-06	0	0	8.52811e-06	4.08578e-06	1.92847e-05	1.51562e-05	5.02041e-06	4.6635e-06	1.43448e-05	1.50395e-05	9.01306e-06	3.26122e-06
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0	0	0	0	0	0	0	0	1.46e-06	0	0	0	0	0	0	0	1.69984e-06	0	0	0	8.24521e-07	0	0	3.192e-06
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|unclassified	0	0	0	0	0	0	0	0	1.17151e-06	0	0	0	0	0	0	0	1.29449e-06	0	0	0	0	0	0	0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	9.55019e-06	4.1612e-06	1.06667e-05	0	5.89899e-06	3.43938e-06	3.79523e-06	5.26956e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000447111	0.000396455	0.000404581	0.000413919	0.000423981	0.000425106	0.000406263	0.000403364	0.000586927	0.000540633	0.000728871	0.000540547	0.000596407	0.000571305	0.000467663	0.000575427	0.000445951	0.000497989	0.000400568	0.00040033	0.000493257	0.000486517	0.000384825	0.000467974
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_longum	2.13262e-05	2.08211e-05	2.10139e-05	1.88541e-05	1.96873e-05	2.18224e-05	2.00105e-05	2.0865e-05	0	0	9.24616e-06	9.42332e-06	0	0	7.97709e-06	6.83117e-06	5.27932e-05	7.14056e-05	5.11724e-05	5.05074e-05	6.95205e-05	6.3682e-05	4.23026e-05	5.17117e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Enterobacter.s__Enterobacter_aerogenes	1.18293e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	6.49272e-05	6.40577e-05	6.14649e-05	5.92532e-05	6.90512e-05	7.09366e-05	6.25636e-05	6.5716e-05	0	0	2.83819e-05	2.97141e-05	0	0	4.69134e-05	3.59564e-05	4.20555e-05	4.46663e-05	3.50739e-05	3.57944e-05	4.39866e-05	4.76452e-05	4.25495e-05	4.35513e-05
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_oxytoca	1.30024e-06	7.02903e-07	0	0	1.14936e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Klebsiella.s__Klebsiella_pneumoniae	1.64771e-05	1.55067e-05	8.97629e-06	4.30176e-06	1.4385e-05	1.55319e-05	1.06129e-05	6.69093e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	8.01961e-06	0	0	4.58959e-06	7.59234e-06	4.85811e-06	2.78619e-06	0	3.50671e-06	4.28603e-06	0	4.35868e-06	0	4.90021e-06	0	0	0	9.23386e-06	0	0	0	0	5.5053e-06	8.53596e-06
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000345699	0.000301654	0.000295376	0.000293847	0.000329216	0.000341908	0.000298986	0.000282612	0.000250796	0.000222171	0.000159995	0.000131912	0.000270075	0.000250547	0.00020782	0.00022005	0.00028564	0.000333882	0.000235342	0.000241402	0.000320319	0.000319736	0.000238627	0.000309194
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_longum	2.26059e-05	2.0895e-05	2.14797e-05	2.06753e-05	1.95039e-05	2.24048e-05	2.14336e-05	1.93503e-05	0	0	1.05198e-05	9.36126e-06	0	0	1.00608e-05	7.2145e-06	5.37787e-05	7.35283e-05	4.91698e-05	4.83513e-05	6.92737e-05	6.36296e-05	4.52892e-05	5.45842e-05
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	6.5445e-05	6.28218e-05	5.93208e-05	5.9626e-05	6.7905e-05	7.17e-05	6.05649e-05	6.2662e-05	0	0	2.66775e-05	2.77654e-05	0	0	3.79357e-05	3.66904e-05	4.10195e-05	3.65203e-05	3.27233e-05	3.49219e-05	4.24196e-05	4.68378e-05	3.88508e-05	4.3331e-05
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	6.8131e-06	0	0	3.20406e-06	6.38653e-06	3.96995e-06	2.78943e-06	0	3.36179e-06	3.07643e-06	0	3.58846e-06	0	2.93546e-06	0	0	0	5.9247e-06	0	0	0	0	4.11977e-06	6.20878e-06
ARO-PWY: chorismate biosynthesis I	0.000461118	0.000426533	0.000447278	0.000447383	0.000436555	0.000422604	0.000430245	0.000452439	0.000272414	0.000260535	0.000106975	0.000122296	0.0002447	0.000245263	0.000182804	0.000130258	0.000228253	0.000253529	0.000208421	0.000262211	0.000295416	0.000248909	0.000221367	0.000222399
ARO-PWY: chorismate biosynthesis I|g__Acidaminococcus.s__Acidaminococcus_fermentans	0	5.50524e-07	0	0	1.01621e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	1.20967e-06	0	0	9.57498e-07	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	7.65108e-05	8.05459e-05	6.58692e-05	6.44935e-05	7.80233e-05	7.68443e-05	7.52678e-05	7.36076e-05	0	0	2.72233e-05	3.2253e-05	0	0	5.53527e-05	4.14249e-05	4.32702e-05	4.44022e-05	2.90476e-05	3.74255e-05	4.38013e-05	4.60949e-05	4.49712e-05	4.13353e-05
ARO-PWY: chorismate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0	2.76556e-06	0	2.82869e-06	0	1.59748e-06	1.70418e-06	0	3.99479e-06	4.94063e-06	2.91476e-06	4.73792e-06	5.5478e-06	3.58213e-06	2.68737e-06	3.64947e-06
ARO-PWY: chorismate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	3.58244e-05	3.90092e-05	2.3599e-05	1.69708e-05	3.96883e-05	3.68416e-05	1.71761e-05	1.59706e-05	9.65683e-05	9.50949e-05	0	0	8.69399e-05	9.67552e-05	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0	0	0	1.17676e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	6.46068e-06	5.7657e-06	3.39625e-06	4.30642e-06	6.12909e-06	5.95944e-06	5.30708e-06	3.53122e-06	0	0	0	0	0	0	5.50901e-06	0	5.94308e-06	0	0	5.80567e-06	1.00202e-05	0	3.85487e-06	0
